lat,lon,2020-01-22 00:00:00,Date,Value
39.0742,21.8243,0,2020-01-23 00:00:00,0
15.7835,-90.2308,0,2020-01-23 00:00:00,0
9.9456,-9.6966,0,2020-01-23 00:00:00,0
5.0,-58.75,0,2020-01-23 00:00:00,0
18.9712,-72.2852,0,2020-01-23 00:00:00,0
41.9029,12.4534,0,2020-01-23 00:00:00,0
15.2,-86.2419,0,2020-01-23 00:00:00,0
47.1625,19.5033,0,2020-01-23 00:00:00,0
64.9631,-19.0208,0,2020-01-23 00:00:00,0
21.0,78.0,0,2020-01-23 00:00:00,0
-0.7893,113.9213,0,2020-01-23 00:00:00,0
32.0,53.0,0,2020-01-23 00:00:00,0
33.0,44.0,0,2020-01-23 00:00:00,0
53.1424,-7.6921,0,2020-01-23 00:00:00,0
31.0,35.0,0,2020-01-23 00:00:00,0
43.0,12.0,0,2020-01-23 00:00:00,0
18.1096,-77.2975,0,2020-01-23 00:00:00,0
36.0,138.0,2,2020-01-23 00:00:00,2
31.24,36.51,0,2020-01-23 00:00:00,0
48.0196,66.9237,0,2020-01-23 00:00:00,0
-0.0236,37.9062,0,2020-01-23 00:00:00,0
36.0,128.0,1,2020-01-23 00:00:00,1
29.5,47.75,0,2020-01-23 00:00:00,0
41.2044,74.7661,0,2020-01-23 00:00:00,0
56.8796,24.6032,0,2020-01-23 00:00:00,0
33.8547,35.8623,0,2020-01-23 00:00:00,0
6.4281,-9.4295,0,2020-01-23 00:00:00,0
47.14,9.55,0,2020-01-23 00:00:00,0
55.1694,23.8813,0,2020-01-23 00:00:00,0
49.8153,6.1296,0,2020-01-23 00:00:00,0
-18.7669,46.8691,0,2020-01-23 00:00:00,0
2.5,112.5,0,2020-01-23 00:00:00,0
3.2028,73.2207,0,2020-01-23 00:00:00,0
35.9375,14.3754,0,2020-01-23 00:00:00,0
21.0079,10.9408,0,2020-01-23 00:00:00,0
-20.2,57.5,0,2020-01-23 00:00:00,0
23.6345,-102.5528,0,2020-01-23 00:00:00,0
47.4116,28.3699,0,2020-01-23 00:00:00,0
43.7333,7.4167,0,2020-01-23 00:00:00,0
46.8625,103.8467,0,2020-01-23 00:00:00,0
42.5,19.3,0,2020-01-23 00:00:00,0
31.7917,-7.0926,0,2020-01-23 00:00:00,0
-22.9576,18.4904,0,2020-01-23 00:00:00,0
28.1667,84.25,0,2020-01-23 00:00:00,0
12.5186,-70.0358,0,2020-01-23 00:00:00,0
12.1696,-68.99,0,2020-01-23 00:00:00,0
18.0425,-63.0548,0,2020-01-23 00:00:00,0
52.1326,5.2913,0,2020-01-23 00:00:00,0
-40.9006,174.886,0,2020-01-23 00:00:00,0
12.8654,-85.2072,0,2020-01-23 00:00:00,0
17.6078,8.0817,0,2020-01-23 00:00:00,0
9.082,8.6753,0,2020-01-23 00:00:00,0
41.6086,21.7453,0,2020-01-23 00:00:00,0
60.472,8.4689,0,2020-01-23 00:00:00,0
21.0,57.0,0,2020-01-23 00:00:00,0
30.3753,69.3451,0,2020-01-23 00:00:00,0
8.538,-80.7821,0,2020-01-23 00:00:00,0
-6.315,143.9555,0,2020-01-23 00:00:00,0
-23.4425,-58.4438,0,2020-01-23 00:00:00,0
-9.19,-75.0152,0,2020-01-23 00:00:00,0
13.0,122.0,0,2020-01-23 00:00:00,0
51.9194,19.1451,0,2020-01-23 00:00:00,0
39.3999,-8.2245,0,2020-01-23 00:00:00,0
25.3548,51.1839,0,2020-01-23 00:00:00,0
45.9432,24.9668,0,2020-01-23 00:00:00,0
60.0,90.0,0,2020-01-23 00:00:00,0
-1.9403,29.8739,0,2020-01-23 00:00:00,0
13.9094,-60.9789,0,2020-01-23 00:00:00,0
12.9843,-61.2872,0,2020-01-23 00:00:00,0
43.9424,12.4578,0,2020-01-23 00:00:00,0
24.0,45.0,0,2020-01-23 00:00:00,0
14.4974,-14.4524,0,2020-01-23 00:00:00,0
44.0165,21.0059,0,2020-01-23 00:00:00,0
-4.6796,55.492,0,2020-01-23 00:00:00,0
1.2833,103.8333,0,2020-01-23 00:00:00,1
48.669,19.699,0,2020-01-23 00:00:00,0
46.1512,14.9955,0,2020-01-23 00:00:00,0
5.1521,46.1996,0,2020-01-23 00:00:00,0
