id,lat,lon,Date,Value
"Burnet, Texas",30.78801353,-98.181887,2020-04-01,3.0
"Butler, Alabama",31.75300095,-86.68057478,2020-04-01,1.0
"Butler, Iowa",42.73172833,-92.79015971,2020-04-01,1.0
"Butler, Kansas",37.78134351,-96.83878537,2020-04-01,5.0
"Butler, Kentucky",37.20946153,-86.68748787,2020-04-01,1.0
"Butler, Missouri",36.71462476,-90.40421163,2020-04-01,1.0
"Butler, Ohio",39.44012838,-84.57388716,2020-04-01,41.0
"Butler, Pennsylvania",40.91152759,-79.91351055,2020-04-01,64.0
"Butte, California",39.66727762,-121.6005252,2020-04-01,8.0
"Butte, South Dakota",44.90608745,-103.5079318,2020-04-01,0.0
"Butts, Georgia",33.283094500000004,-83.95435040000002,2020-04-01,8.0
"Cabarrus, North Carolina",35.3877799,-80.55267168,2020-04-01,47.0
"Cabell, West Virginia",38.42424062,-82.23855912,2020-04-01,1.0
"Cache, Utah",41.72330587,-111.7443667,2020-04-01,7.0
"Caddo, Louisiana",32.57991587,-93.88375652,2020-04-01,298.0
"Caddo, Oklahoma",35.17364557,-98.37534464,2020-04-01,1.0
"Calaveras, California",38.20537103,-120.552913,2020-04-01,3.0
"Calcasieu, Louisiana",30.22931235,-93.35400434,2020-04-01,90.0
"Caldwell, Missouri",39.65620858,-93.98308093,2020-04-01,1.0
"Caldwell, North Carolina",35.95204977,-81.54799522,2020-04-01,3.0
"Caldwell, Texas",29.83668859,-97.61814775,2020-04-01,1.0
"Caledonia, Vermont",44.46548598,-72.10314651,2020-04-01,3.0
"Calhoun, Alabama",33.77483727,-85.82630386,2020-04-01,11.0
"Calhoun, Florida",30.40666734,-85.19394153,2020-04-01,1.0
"Calhoun, Georgia",31.53169785,-84.62725131,2020-04-01,10.0
"Calhoun, Michigan",42.24633834,-85.00493569,2020-04-01,23.0
"Calhoun, Mississippi",33.93683395,-89.33686647,2020-04-01,3.0
"Calhoun, South Carolina",33.66926881,-80.77722168,2020-04-01,3.0
"Calhoun, Texas",28.47048236,-96.61633945,2020-04-01,7.0
"Callaway, Missouri",38.83674754,-91.92186505,2020-04-01,17.0
"Calloway, Kentucky",36.62093411,-88.2731593,2020-04-01,3.0
"Calumet, Wisconsin",44.0816316,-88.21780273,2020-04-01,2.0
"Calvert, Maryland",38.53961642,-76.56820632,2020-04-01,18.0
"Camas, Idaho",43.46665742,-114.8065892,2020-04-01,1.0
"Cambria, Pennsylvania",40.49527404,-78.71377428,2020-04-01,3.0
"Camden, Georgia",30.92951916,-81.66601818,2020-04-01,4.0
"Camden, Missouri",38.02199522,-92.76083747,2020-04-01,17.0
"Camden, New Jersey",39.80343818,-74.96388753,2020-04-01,289.0
"Cameron, Pennsylvania",41.43625568,-78.20376845,2020-04-01,1.0
"Cameron, Texas",26.14524221,-97.48140372,2020-04-01,26.0
"Camp, Texas",32.97195142,-94.97790104,2020-04-01,1.0
"Campbell, Kentucky",38.94384345,-84.37875208,2020-04-01,8.0
"Campbell, Tennessee",36.40355516,-84.15108559999999,2020-04-01,4.0
"Campbell, Virginia",37.20553386,-79.09678609,2020-04-01,2.0
"Campbell, Wyoming",44.24886082,-105.5474404,2020-04-01,4.0
"Canadian, Oklahoma",35.5426055,-97.98465569,2020-04-01,24.0
"Candler, Georgia",32.40209349,-82.07702563,2020-04-01,1.0
"Cannon, Tennessee",35.80990797,-86.05738983,2020-04-01,3.0
"Canyon, Idaho",43.61970148,-116.7095499,2020-04-01,53.0
"Cape Girardeau, Missouri",37.38489388,-89.6843587,2020-04-01,15.0
"Cape May, New Jersey",39.15008829,-74.80170244,2020-04-01,22.0
"Carbon, Pennsylvania",40.91545395,-75.7068525,2020-04-01,23.0
"Carbon, Wyoming",41.69357844,-106.9326084,2020-04-01,3.0
"Carlton, Minnesota",46.59180601,-92.67601019,2020-04-01,2.0
"Caroline, Maryland",38.87172293,-75.82904158,2020-04-01,4.0
"Carroll, Georgia",33.58138199,-85.07976677,2020-04-01,131.0
"Carroll, Illinois",42.06823429,-89.93395545,2020-04-01,3.0
"Carroll, Indiana",40.580783200000006,-86.56198812,2020-04-01,2.0
"Carroll, Iowa",42.03617207,-94.86032705,2020-04-01,1.0
"Carroll, Kentucky",38.66599534,-85.12601074,2020-04-01,2.0
"Carroll, Maryland",39.56453592,-77.02373735,2020-04-01,96.0
"Carroll, Mississippi",33.44834567,-89.91994479,2020-04-01,2.0
"Carroll, New Hampshire",43.87498583,-71.20430216,2020-04-01,12.0
"Carroll, Ohio",40.5789686,-81.09178213,2020-04-01,5.0
"Carroll, Tennessee",35.97366108,-88.45189331,2020-04-01,5.0
"Carroll, Virginia",36.73066666,-80.73455942,2020-04-01,1.0
"Carson City, Nevada",39.15509045,-119.7480219,2020-04-01,5.0
"Carter, Missouri",36.94160441,-90.96051322,2020-04-01,4.0
"Carter, Oklahoma",34.25103751,-97.28552485,2020-04-01,1.0
"Carter, Tennessee",36.28969086,-82.12588974,2020-04-01,1.0
"Carteret, North Carolina",34.8932941,-76.54120135,2020-04-01,14.0
"Carver, Minnesota",44.82017001,-93.8009918,2020-04-01,10.0
"Cascade, Montana",47.30797024,-111.3467922,2020-04-01,9.0
"Cass, Indiana",40.76135835,-86.34830753,2020-04-01,1.0
"Cass, Michigan",41.91522292,-85.99405727,2020-04-01,6.0
"Cass, Minnesota",46.95043611,-94.32603968,2020-04-01,1.0
"Cass, Missouri",38.64789422,-94.353399,2020-04-01,17.0
"Cass, Nebraska",40.90899107,-96.13971217,2020-04-01,2.0
"Cass, North Dakota",46.93201724,-97.2444719,2020-04-01,34.0
"Cass, Texas",33.07499881,-94.34646905,2020-04-01,3.0
"Cassia, Idaho",42.28347888,-113.6012409,2020-04-01,1.0
"Castro, Texas",34.53016752,-102.2617243,2020-04-01,8.0
"Caswell, North Carolina",36.39312665,-79.33353281,2020-04-01,1.0
"Catahoula, Louisiana",31.66778967,-91.84526385,2020-04-01,3.0
"Catawba, North Carolina",35.66211129,-81.2132617,2020-04-01,16.0
"Catoosa, Georgia",34.89872298,-85.13757014,2020-04-01,4.0
"Cattaraugus, New York",42.24778241,-78.67923096,2020-04-01,7.0
"Cayuga, New York",42.91261714,-76.55731592,2020-04-01,4.0
"Cecil, Maryland",39.56647682,-75.94627411,2020-04-01,16.0
"Cedar, Iowa",41.77233777,-91.13246684,2020-04-01,9.0
"Cedar, Missouri",37.72391475,-93.85445441,2020-04-01,5.0
"Centre, Pennsylvania",40.92058903,-77.82200624,2020-04-01,27.0
"Cerro Gordo, Iowa",43.08177563,-93.2612239,2020-04-01,8.0
"Chaffee, Colorado",38.74745778,-106.19265729999998,2020-04-01,17.0
"Chambers, Alabama",32.91360079,-85.39072749,2020-04-01,42.0
"Chambers, Texas",29.70972016,-94.67154501,2020-04-01,9.0
"Champaign, Illinois",40.13919438,-88.20046615,2020-04-01,33.0
"Champaign, Ohio",40.13923427,-83.76875242,2020-04-01,4.0
"Chariton, Missouri",39.51499357,-92.9629191,2020-04-01,4.0
"Charles, Maryland",38.51092331,-76.98580666,2020-04-01,56.0
"Charles City, Virginia",37.35358063,-77.05634116,2020-04-01,2.0
"Charles Mix, South Dakota",43.20660134,-98.58856175,2020-04-01,1.0
"Charleston, South Carolina",32.82487866,-79.96512315,2020-04-01,190.0
"Charlevoix, Michigan",45.37790017,-85.19614053,2020-04-01,4.0
"Charlotte, Florida",26.90131002,-81.92949121,2020-04-01,24.0
"Charlottesville, Virginia",38.03527919,-78.48569588,2020-04-01,16.0
"Charlton, Georgia",30.78371028,-82.13951596,2020-04-01,1.0
"Chatham, Georgia",32.00043026,-81.12489526,2020-04-01,36.0
"Chatham, North Carolina",35.70394416,-79.25541492,2020-04-01,16.0
"Chattahoochee, Georgia",32.34341231,-84.78809239,2020-04-01,2.0
"Chattooga, Georgia",34.47197698,-85.34535662,2020-04-01,3.0
"Chautauqua, Kansas",37.14994405,-96.2454192,2020-04-01,1.0
"Chautauqua, New York",42.22769210000001,-79.36691763,2020-04-01,8.0
"Chaves, New Mexico",33.36406072,-104.4665365,2020-04-01,10.0
"Cheatham, Tennessee",36.26136216,-87.08903581,2020-04-01,11.0
"Cheboygan, Michigan",45.44787015,-84.50122149,2020-04-01,2.0
"Chelan, Washington",47.87046092,-120.6173956,2020-04-01,17.0
"Chemung, New York",42.13891056,-76.7638805,2020-04-01,22.0
"Chenango, New York",42.49430041,-75.60887553,2020-04-01,26.0
"Cherokee, Alabama",34.17805983,-85.60638968,2020-04-01,2.0
"Cherokee, Georgia",34.24393976,-84.47431861,2020-04-01,83.0
"Cherokee, Kansas",37.16928494,-94.8462897,2020-04-01,3.0
"Cherokee, North Carolina",35.1349263,-84.05970864,2020-04-01,11.0
"Cherokee, Oklahoma",35.90692775,-94.99980896,2020-04-01,7.0
"Cherokee, Texas",31.837258,-95.16559897,2020-04-01,5.0
"Chesapeake, Virginia",36.67670048,-76.30545744,2020-04-01,31.0
"Cheshire, New Hampshire",42.92015988,-72.25311043,2020-04-01,4.0
"Chester, Pennsylvania",39.97291773,-75.74768357,2020-04-01,183.0
"Chester, South Carolina",34.69249168,-81.1583216,2020-04-01,3.0
"Chester, Tennessee",35.42527478,-88.6095842,2020-04-01,3.0
"Chesterfield, South Carolina",34.64137396,-80.15640140000002,2020-04-01,9.0
"Chesterfield, Virginia",37.37373208,-77.58680140000001,2020-04-01,59.0
"Chickasaw, Mississippi",33.91983202,-88.9481545,2020-04-01,15.0
"Chicot, Arkansas",33.26458973,-91.29539209,2020-04-01,2.0
"Chilton, Alabama",32.85044126,-86.7173256,2020-04-01,13.0
"Chippewa, Michigan",46.29552653,-84.54353449,2020-04-01,1.0
